Protein A,Protein B,UniProtID A,UniProtID B,PDBID A,PDBID B
DDX5,HNRNPK,Q5R4I9,P61979,No 3D Structure,No 3D Structure
KHDRBS1,RBMX,Q07666,Q9WV02,"2XA6, 3QHE, 7Z89, 7Z8A, 7Z9A, 7Z9B, 7ZAB, 7ZAC, 7ZAF, 7ZAM",No 3D Structure
TIMMDC1,NDUFA3,Q9NPL8,O95167,No 3D Structure,"5XTC, 5XTD, 5XTH, 5XTI"
GSK3B,CREB3L3,Q5YJC2,Q68CJ9,No 3D Structure,No 3D Structure
HNRNPK,ILF3,P61979,Q9Z1X4,No 3D Structure,"4AT7, 4AT8, 4AT9, 4ATB, 5DV7"
RBMX,HNRNPR,Q9WV02,O43390,No 3D Structure,2DK2
UBQLN1,VCP,Q8R317,P42660,No 3D Structure,No 3D Structure
MRPS35,RPS9,P82673,P46781,"3J9M, 6NU2, 6NU3, 6RW4, 6RW5, 6VLZ, 6VMI, 6ZM5, 6ZM6, 6ZS9, 6ZSA, 6ZSB, 6ZSC, 6ZSD, 6ZSE, 6ZSG, 7A5F, 7A5G, 7A5I, 7A5K, 7L08, 7OG4, 7P2E, 7PNX, 7PNY, 7PNZ, 7PO0, 7PO1, 7PO2, 7PO3, 7QI4, 7QI5, 7QI6, 8ANY, 8CSP, 8CSQ, 8CSR, 8CSS, 8CST, 8CSU, 8K2A, 8OIR, 8OIS, 8QRK, 8QRL, 8QRM, 8QRN, 8XT0, 8XT2","4UG0, 4V6X, 5A2Q, 5AJ0, 5FLX, 5LKS, 5OA3, 5T2C, 5VYC, 6FEC, 6G18, 6G4S, 6G4W, 6G51, 6G53, 6G5H, 6G5I, 6IP5, 6IP6, 6IP8, 6OLE, 6OLF, 6OLG, 6OLI, 6OLZ, 6OM0, 6OM7, 6QZP, 6XA1, 6Y0G, 6Y2L, 6Y57, 6YBW, 6Z6L, 6Z6M, 6Z6N, 6ZLW, 6ZM7, 6ZME, 6ZMI, 6ZMO, 6ZMT, 6ZMW, 6ZN5, 6ZOJ, 6ZOK, 6ZON, 6ZP4, 6ZUO, 6ZV6, 6ZVH, 6ZVJ, 6ZXD, 6ZXE, 6ZXF, 6ZXG, 6ZXH, 7A09, 7K5I, 7MQ8, 7MQ9, 7MQA, 7QP6, 7QP7, 7R4X, 7TQL, 7WTS, 7WTT, 7WTU, 7WTV, 7WTW, 7WTX, 7WTZ, 7WU0, 7XNX, 7XNY, 8G5Y, 8G5Z, 8G60, 8G61, 8G6J, 8GLP, 8IFD, 8IFE, 8JDJ, 8JDK, 8JDL, 8JDM, 8K2C, 8OZ0, 8PJ1, 8PJ2, 8PJ3, 8PJ4, 8PJ5, 8PJ6, 8PPK, 8PPL, 8QOI, 8T4S, 8UKB, 8XP2, 8XP3, 8XSX, 8XSY, 8XSZ, 8XXL, 8XXM, 8XXN, 8Y0W, 8Y0X, 8YOO, 8YOP, 8ZDB, 8ZDC, 8ZDD, 9BKD, 9BLN, 9C3H, 9G8M, 9G8O"
BAG5,GAK,Q9UL15,O14976,"2D9D, 3A8Y","4C57, 4C58, 4C59, 4O38, 4Y8D, 5Y7Z, 5Y80"
DCTN1,SNX5,A0A287B8J2,Q9Y5X3,"6ZNL, 7Z8F, 8PQW, 8PQZ, 8PR0, 8PR5, 8PTK","1SYS, 5TGH, 5TGI, 5TGJ, 5WY2, 6N5X, 6N5Y, 6N5Z, 8A1G, 8ABQ, 8AFZ"
SH3GL1,SH3GL2,Q99961,Q99962,No 3D Structure,"1X03, 1X04, 2D4C, 2DBM"
LRRK2,HSPA8,Q5S007,P63017,"2ZEJ, 3D6T, 5MY9, 5MYC, 6DLO, 6DLP, 6OJE, 6OJF, 6VNO, 6VP6, 6VP7, 6VP8, 6XAF, 6XR4, 7LHT, 7LHW, 7LI3, 7LI4, 7THY, 7THZ, 8FO2, 8FO7, 8FO8, 8FO9, 8SMC, 8TXZ, 8TYQ, 8TZB, 8TZC, 8TZE, 8TZF, 8TZG, 8TZH, 8U1B, 8U7H, 8U7L, 8U8A, 8U8B, 8VH4, 8VH5, 9C76, 9CHO",3CQX
SFPQ,HNRNPU,Q8VIJ6,Q8VEK3,No 3D Structure,No 3D Structure
MAP1LC3B,BNIP3L,Q9GZQ8,Q9Z2F7,"1V49, 2LUE, 2N9X, 2ZJD, 3VTU, 3VTV, 3VTW, 3WAO, 3X0W, 4WAA, 5D94, 5DCN, 5GMV, 5MS2, 5MS5, 5MS6, 5V4K, 5W9A, 5XAC, 5XAD, 5XAE, 6J04, 6LAN, 7ELG, 7GA8, 7GA9, 7GAA, 7GAB, 7GAC, 7GAD, 7GAE, 7GAF, 7GAG, 7GAH, 7GAI, 7GAJ, 7GAK, 7GAL, 7GAM, 7GAN, 7GAO, 7GAP, 7GAQ, 7GAR, 7GAS, 7GAU, 8Q53, 8Q7K, 8YV6",No 3D Structure
APOH,LRP8,Q01339,Q14114,No 3D Structure,"3A7Q, 5B4X, 5B4Y, 7UCX"
IL2RB,JAK2,P14784,O60674,"2B5I, 2ERJ, 3QAZ, 4GS7, 5M5E, 6E8K, 7S2S","2B7A, 2W1I, 2XA4, 3E62, 3E63, 3E64, 3FUP, 3IO7, 3IOK, 3JY9, 3KCK, 3KRR, 3LPB, 3Q32, 3RVG, 3TJC, 3TJD, 3UGC, 3ZMM, 4AQC, 4BBE, 4BBF, 4C61, 4C62, 4D0W, 4D0X, 4D1S, 4E4M, 4E6D, 4E6Q, 4F08, 4F09, 4FVP, 4FVQ, 4FVR, 4GFM, 4GMY, 4HGE, 4IVA, 4JI9, 4JIA, 4P7E, 4YTC, 4YTF, 4YTH, 4YTI, 4Z32, 4ZIM, 5AEP, 5CF4, 5CF5, 5CF6, 5CF8, 5HEZ, 5I4N, 5L3A, 5TQ3, 5TQ4, 5TQ5, 5TQ6, 5TQ7, 5TQ8, 5USY, 5USZ, 5UT0, 5UT1, 5UT2, 5UT3, 5UT4, 5UT5, 5UT6, 5WEV, 5WIJ, 5WIK, 5WIL, 5WIM, 5WIN, 6AAJ, 6BBV, 6BRW, 6BS0, 6BSS, 6D2I, 6DRW, 6E2P, 6E2Q, 6G3C, 6M9H, 6OAV, 6OBB, 6OBF, 6OBL, 6OCC, 6TPD, 6VGL, 6VN8, 6VNB, 6VNC, 6VNE, 6VNF, 6VNG, 6VNH, 6VNI, 6VNJ, 6VNK, 6VNL, 6VNM, 6VS3, 6VSN, 6WTN, 6WTO, 6WTP, 6WTQ, 6X8E, 6XJK, 7F7W, 7JYO, 7JYQ, 7LL4, 7LL5, 7Q7I, 7Q7K, 7Q7L, 7Q7W, 7REE, 7RN6, 7SZW, 7T0P, 7T1T, 7TEU, 7UYW, 8B8N, 8B8U, 8B99, 8B9E, 8B9H, 8BA2, 8BA3, 8BA4, 8BAB, 8BAK, 8BM2, 8BPV, 8BPW, 8BX6, 8BX9, 8BXC, 8BXH, 8C08, 8C09, 8C0A, 8CZ9, 8EX0, 8EX1, 8EX2, 8EXK, 8EYA, 8EYB, 8F88, 8G6Z, 8G8O, 8G8X"
OPTN,SOD1,Q8K3K8,P15107,5WQ4,1XSO
RAF1,SFN,A7E3S4,O70456,No 3D Structure,No 3D Structure
APP,ACHE,A2VEY9,B4FZ87,No 3D Structure,No 3D Structure
YWHAZ,CSNK1D,P63104,P48730,"1IB1, 1QJA, 1QJB, 2C1J, 2C1N, 2O02, 2WH0, 3CU8, 3NKX, 3RDH, 4BG6, 4FJ3, 4HKC, 4IHL, 4N7G, 4N7Y, 4N84, 4WRQ, 4ZDR, 5D2D, 5D3F, 5EWZ, 5EXA, 5J31, 5JM4, 5M35, 5M36, 5M37, 5NAS, 5ULO, 5WXN, 5XY9, 6EF5, 6EJL, 6EWW, 6F08, 6F09, 6FN9, 6FNA, 6FNB, 6FNC, 6Q0K, 6RLZ, 6U2H, 6XAG, 6YMO, 6YO8, 6YOS, 6ZFD, 6ZFG, 7D8H, 7D8P, 7D9V, 7MFD, 7MFE, 7MFF, 7Q16, 7ZIT, 8A9G, 8AH2, 8P1H, 8QDV, 8WE2, 8WF6, 9FUM, 9FVL","3UYS, 3UYT, 3UZP, 4HGT, 4HNF, 4KB8, 4KBA, 4KBC, 4KBK, 4TN6, 4TW9, 4TWC, 5IH4, 5IH5, 5IH6, 5MQV, 5OKT, 5W4W, 6F1W, 6F26, 6GZM, 6HMP, 6HMR, 6PXN, 6PXO, 6PXP, 6RCG, 6RCH, 6RU6, 6RU7, 6RU8, 7NZY, 7P7F, 7P7G, 7P7H, 7QR9, 7QRA, 7QRB, 8D7M, 8D7N, 8D7O, 8D7P, 8IZC, 8VXD, 8VXF, 9B3S"
HSP90AA1,IKBKG,A5A6K9,Q9Y6K9,No 3D Structure,"2JVX, 2JVY, 3BRT, 3BRV, 3CL3, 3FX0, 4BWN, 5AAY, 5LDE, 6MI3, 6MI4, 6XX0, 6YEK, 7T2U, 7TV4, 8U7C, 9AZJ"
AZI2,TBKBP1,Q9H6S1,A7MCY6,"5EP6, 5Z7G, 5Z7L, 7EA2, 7EA7",No 3D Structure
PCBP1,HNRNPL,P60335,Q8R081,No 3D Structure,"3S01, 3TYT"
UBQLN2,VCP,Q9UHD9,P42660,"1J8C, 2NBV, 6MUN, 7F7X",No 3D Structure
CYLD,OPTN,Q9NQC7,Q8K3K8,"1IXD, 1WHL, 1WHM, 2VHF, 7OWC, 7OWD",5WQ4
ABCB7,NUBP1,E7F6F7,Q9R060,No 3D Structure,No 3D Structure
VAPA,OSBP2,Q9P0L0,Q969R2,"2RR3, 6TQR",No 3D Structure
SFPQ,HNRNPA2B1,Q8VIJ6,P22626,No 3D Structure,"1X4B, 5EN1, 5HO4, 5WWE, 5WWF, 5WWG, 6WPQ, 6WQK, 7WM3, 8DU2, 8DUW, 8EC7, 8HNI"
DHX9,HNRNPK,Q5R874,P61979,No 3D Structure,No 3D Structure
HNRNPA1,EIF4A3,P09651,P38919,"1HA1, 1L3K, 1PGZ, 1PO6, 1U1K, 1U1L, 1U1M, 1U1N, 1U1O, 1U1P, 1U1Q, 1U1R, 1UP1, 2H4M, 2LYV, 2UP1, 4YOE, 5MPG, 5MPL, 5ZGD, 5ZGL, 6BXX, 6DCL, 6J60, 7BX7, 7ZJ2, 8IK7, 8IKB, 8IKP, 8IKS, 8RZV, 8X0N, 9F1S, 9F4D, 9F4G, 9F4H, 9F4J, 9F4K, 9F4L, 9F4N, 9F4O, 9F4P, 9F4Q, 9F4R, 9F4S, 9F4T, 9F4U, 9F4V, 9F4W, 9F4X, 9F4Y, 9F4Z, 9F50, 9F51, 9F52, 9F53, 9F54, 9F55, 9F5C, 9F5D, 9F5E, 9F5F, 9F5G, 9F5K, 9F7F, 9F7H, 9GEA, 9GPJ, 9HQ9, 9HQJ, 9HQL","2HXY, 2HYI, 2J0Q, 2J0S, 2J0U, 2XB2, 3EX7, 4C9B, 5MQF, 5XJC, 5YZG, 6ICZ, 6QDV, 6YVH, 7A5P, 7W59, 7W5A, 7W5B, 7ZNJ, 8C6J, 8I0W, 9FMD"
HNRNPC,PABPC1,P07910,P11940,"1TXP, 1WF2, 2MXY, 2MZ1, 3LN4","1CVJ, 1G9L, 1JGN, 1JH4, 2D9P, 2K8G, 2RQG, 2RQH, 2X04, 3KTP, 3KTR, 3KUI, 3KUJ, 3KUR, 3KUS, 3KUT, 3PKN, 3PTH, 4F02, 4F25, 4F26, 5DX1, 5DX8, 5DXA, 5LGP, 5LGQ, 5LGR, 5LGS, 7BN3, 8SMO"
JAK3,SOCS3,Q62137,O14543,No 3D Structure,No 3D Structure
SNRPC,SNRNP200,P09234,Q6P4T2,"2VRD, 3CW1, 4PJO, 6ELD, 6QX9, 7VPX",No 3D Structure
PINK1,TOMM40,B5DFG1,O96008,No 3D Structure,"7CK6, 7CP9, 7VBY, 7VC4, 7VD2, 7VDD, 8XVA"
BECN1,TP53,F1RCP1,Q12888,No 3D Structure,"1GZH, 1KZY, 1XNI, 2G3R, 2IG0, 2LVM, 2MWO, 2MWP, 3LGF, 3LGL, 3LH0, 4CRI, 4RG2, 4X34, 5ECG, 5J26, 5KGF, 5Z78, 5ZCJ, 6CO1, 6CO2, 6IU7, 6IUA, 6MXX, 6MXY, 6MXZ, 6MY0, 6RML, 6RMM, 6UPT, 6VA5, 6VIP, 7LIN, 7LIO, 7YQK, 8EOM, 8F0W, 8HKW, 8SVG, 8SVH, 8SVI, 8SVJ, 8SWJ, 8T2D, 8U4U"
ELAVL1,HNRNPU,Q15717,Q8VEK3,"3HI9, 4ED5, 4EGL, 4FXV, 5SZW, 6G2K, 6GC5, 6GD1, 6GD2, 6GD3",No 3D Structure
PMPCA,NDUFV2,Q10713,P19404,No 3D Structure,"5XTB, 5XTD, 5XTH, 5XTI"
MAP1LC3B,CALCOCO2,Q9GZQ8,Q13137,"1V49, 2LUE, 2N9X, 2ZJD, 3VTU, 3VTV, 3VTW, 3WAO, 3X0W, 4WAA, 5D94, 5DCN, 5GMV, 5MS2, 5MS5, 5MS6, 5V4K, 5W9A, 5XAC, 5XAD, 5XAE, 6J04, 6LAN, 7ELG, 7GA8, 7GA9, 7GAA, 7GAB, 7GAC, 7GAD, 7GAE, 7GAF, 7GAG, 7GAH, 7GAI, 7GAJ, 7GAK, 7GAL, 7GAM, 7GAN, 7GAO, 7GAP, 7GAQ, 7GAR, 7GAS, 7GAU, 8Q53, 8Q7K, 8YV6","2MXP, 3VVV, 3VVW, 4GXL, 4HAN, 4XKL, 5AAQ, 5Z7A, 5Z7L, 7EAA"
SIAH1,SIAH2,Q8IUQ4,O43255,"2A25, 4C9Z, 4CA1, 4I7B, 4I7C, 4I7D, 4X3G, 5WZZ, 8HEO, 9G0L",5H9M
VAPB,STARD3,O95292,Q14849,"2MDK, 3IKK","1EM2, 5I9J, 6TQR, 6TQU"
TFEB,YWHAG,Q9R210,P61982,No 3D Structure,8XI3
BAD,YWHAG,Q61337,P61982,2BZW,8XI3
RBMX,SRSF3,Q9WV02,P84103,No 3D Structure,"2I2Y, 2I38, 9ASQ"
CS,OGDH,A0A2P1GIW2,Q02218,6RT8,"3ERY, 7WGR, 8I0K"
HNRNPF,SRSF3,P52597,P84103,"2HGL, 2HGM, 2HGN, 2KFY, 2KG0, 2KG1, 3TFY","2I2Y, 2I38, 9ASQ"
FUS,HNRNPH1,P56959,P31943,No 3D Structure,"2LXU, 6DHS, 7ZUG"
CD3E,HLA-A,P07766,P04439,"1A81, 1SY6, 1XIW, 2ROL, 5QU2, 6JXR, 7FJD, 7FJE, 7FJF, 7PHR, 8ES7, 8ES8, 8ES9, 8F0L, 8JC0, 8JCB, 8TW4, 8TW6, 8VY4, 8WXE, 8WY0, 8WYI, 8YC0, 9BBC, 9C3E, 9CI8, 9CIA, 9CQ4","1AKJ, 1AO7, 1AQD, 1B0G, 1B0R, 1BD2, 1DUY, 1DUZ, 1EEY, 1EEZ, 1HHG, 1HHH, 1HHI, 1HHJ, 1HHK, 1HLA, 1HSB, 1I1F, 1I1Y, 1I4F, 1I7R, 1I7T, 1I7U, 1IM3, 1JF1, 1JHT, 1LP9, 1OGA, 1P7Q, 1Q94, 1QEW, 1QR1, 1QRN, 1QSE, 1QSF, 1QVO, 1S8D, 1S9W, 1S9X, 1S9Y, 1T1W, 1T1X, 1T1Y, 1T1Z, 1T20, 1T21, 1T22, 1TMC, 1TVB, 1TVH, 1W72, 1X7Q, 2AV1, 2AV7, 2BCK, 2BNQ, 2BNR, 2C7U, 2CLR, 2F53, 2F54, 2GIT, 2GJ6, 2GT9, 2GTW, 2GTZ, 2GUO, 2HLA, 2HN7, 2J8U, 2JCC, 2P5E, 2P5W, 2PYE, 2UWE, 2V2W, 2V2X, 2VLJ, 2VLK, 2VLL, 2VLR, 2X4N, 2X4O, 2X4P, 2X4Q, 2X4R, 2X4S, 2X4T, 2X4U, 2X70, 2XPG, 3BGM, 3BH8, 3BH9, 3BHB, 3BO8, 3D25, 3D39, 3D3V, 3FQN, 3FQR, 3FQT, 3FQU, 3FQW, 3FQX, 3FT2, 3FT3, 3FT4, 3GIV, 3GJF, 3GSN, 3GSO, 3GSQ, 3GSR, 3GSU, 3GSV, 3GSW, 3GSX, 3H7B, 3H9H, 3H9S, 3HAE, 3HLA, 3HPJ, 3I6G, 3I6K, 3I6L, 3IXA, 3KLA, 3MGO, 3MGT, 3MR9, 3MRB, 3MRC, 3MRD, 3MRE, 3MRF, 3MRG, 3MRH, 3MRI, 3MRJ, 3MRK, 3MRL, 3MRM, 3MRN, 3MRO, 3MRP, 3MRQ, 3MRR, 3MYJ, 3NFN, 3O3A, 3O3B, 3O3D, 3O3E, 3PWJ, 3PWL, 3PWN, 3PWP, 3QDG, 3QDJ, 3QDM, 3QEQ, 3QFD, 3QFJ, 3QZW, 3REW, 3RL1, 3RL2, 3UTQ, 3UTS, 3UTT, 3V5D, 3V5H, 3V5K, 3VXM, 3VXN, 3VXO, 3VXP, 3VXR, 3VXS, 3VXU, 3W0W, 3WL9, 3WLB, 4E5X, 4EMZ, 4EN2, 4EUP, 4F7M, 4F7P, 4F7T, 4FTV, 4GKN, 4GKS, 4HWZ, 4HX1, 4I48, 4I4W, 4JFD, 4JFE, 4JFF, 4JFO, 4JFP, 4JFQ, 4K7F, 4L29, 4L3C, 4L3E, 4MJ5, 4MJ6, 4MNQ, 4N8V, 4NNX, 4NNY, 4NO0, 4NO2, 4NO3, 4NO5, 4NQV, 4NQX, 4OV5, 4QOK, 4U6X, 4U6Y, 4UQ2, 4UQ3, 4WJ5, 4WU5, 4WU7, 4WUU, 5BRZ, 5BS0, 5C07, 5C08, 5C09, 5C0A, 5C0B, 5C0C, 5C0D, 5C0E, 5C0F, 5C0G, 5C0I, 5C0J, 5D2L, 5D2N, 5D9S, 5DDH, 5E00, 5E6I, 5E9D, 5ENW, 5EOT, 5EU3, 5EU4, 5EU5, 5EU6, 5EUO, 5F7D, 5F9J, 5FA3, 5FA4, 5FDW, 5GRD, 5GRG, 5GSD, 5HGA, 5HGB, 5HGD, 5HGH, 5HHM, 5HHN, 5HHO, 5HHP, 5HHQ, 5HYJ, 5IRO, 5ISZ, 5JHD, 5JZI, 5MEN, 5MEO, 5MEP, 5MEQ, 5MER, 5N1Y, 5N6B, 5NHT, 5NME, 5NMF, 5NMG, 5NMH, 5NMK, 5NQK, 5SWQ, 5TEZ, 5W1W, 5WJL, 5WJN, 5WKF, 5WKH, 5WSH, 5WWI, 5WWJ, 5WWU, 5WXC, 5WXD, 5XOV, 5YXN, 5YXU, 6AM5, 6AMT, 6AMU, 6APN, 6AT9, 6D78, 6D7G, 6DKP, 6E1I, 6EI2, 6ENY, 6EQA, 6EQB, 6EWA, 6EWC, 6EWO, 6G3J, 6G3K, 6J1W, 6J29, 6J2A, 6JOZ, 6JP3, 6MPP, 6NCA, 6O9B, 6O9C, 6OPD, 6PBH, 6PTB, 6PTE, 6Q3K, 6Q3S, 6R2L, 6RP9, 6RPA, 6RPB, 6RSY, 6SS7, 6SS8, 6SS9, 6SSA, 7L1B, 7L1C, 7L1D, 7MLE, 7PHR, 7QPD, 7RK7, 7RM4, 7RRG, 7STF, 7UC5, 7UX3, 8D4C, 8D4D, 8D4E, 8D4F, 8D4G, 8D9R, 8D9S, 8D9T, 8D9U, 8D9V, 8D9W, 8DVG, 8K4T, 8K4V, 8K50, 8RNI, 8RRO, 8RYM, 8RYO, 8RYP, 8UDR, 8VCL, 8VJZ, 8VR9, 8VRA, 9ASF, 9ASG"
BIN1,MAPT,O00499,P10636,"1MUZ, 1MV0, 1MV3, 2FIC, 2RMY, 2RND, 5I22","1I8H, 2MZ7, 2ON9, 3OVL, 4E0M, 4E0N, 4E0O, 4FL5, 4GLR, 4NP8, 4TQE, 4Y32, 4Y3B, 4Y5I, 5BTV, 5DMG, 5E2V, 5E2W, 5HF3, 5K7N, 5MO3, 5MP1, 5MP3, 5MP5, 5N5A, 5N5B, 5NVB, 5O3L, 5O3O, 5O3T, 5V5B, 5V5C, 5ZIA, 5ZV3, 6BB4, 6CVJ, 6CVN, 6DC8, 6DC9, 6DCA, 6FAU, 6FAV, 6FAW, 6FBW, 6FBY, 6FI4, 6FI5, 6GK7, 6GK8, 6GX5, 6H06, 6HRE, 6HRF, 6LRA, 6N4P, 6NK4, 6NWP, 6NWQ, 6ODG, 6PXR, 6QJH, 6QJM, 6QJP, 6QJQ, 6TJO, 6TJX, 6VH7, 6VHA, 6VHL, 6VI3, 6XLI, 7EYC, 7KQK, 7MKF, 7MKG, 7MKH, 7NRQ, 7NRS, 7NRT, 7NRV, 7NRX, 7P65, 7P66, 7P67, 7P68, 7P6A, 7P6B, 7P6C, 7P6D, 7P6E, 7PQC, 7PQP, 7QJV, 7QJW, 7QJX, 7QJY, 7QJZ, 7QK1, 7QK2, 7QK3, 7QK5, 7QK6, 7QKF, 7QKG, 7QKH, 7QKI, 7QKJ, 7QKK, 7QKL, 7QKM, 7QKU, 7QKV, 7QKW, 7QKX, 7QKY, 7QKZ, 7QL0, 7QL1, 7QL2, 7QL3, 7QL4, 7R4T, 7R5H, 7SP1, 7U0Z, 7UPE, 7UPF, 7UPG, 7YMN, 7YPG, 8AZU, 8BGS, 8BGV, 8BYN, 8CAQ, 8CAX, 8FNZ, 8FUG, 8FYU, 8G54, 8G55, 8G58, 8GCK, 8KDX, 8OH2, 8OHI, 8OHP, 8OI0, 8OP0, 8OPI, 8ORE, 8ORF, 8ORG, 8OT6, 8OT9, 8OTC, 8OTG, 8OTH, 8OTI, 8OTJ, 8P34, 8PII, 8PPO, 8Q27, 8Q2J, 8Q2K, 8Q2L, 8Q7F, 8Q7L, 8Q7M, 8Q7P, 8Q7T, 8Q88, 8Q8C, 8Q8D, 8Q8E, 8Q8F, 8Q8L, 8Q8M, 8Q8R, 8Q8S, 8Q8U, 8Q8V, 8Q8W, 8Q8X, 8Q8Y, 8Q8Z, 8Q92, 8Q97, 8Q98, 8Q99, 8Q9A, 8Q9B, 8Q9C, 8Q9D, 8Q9E, 8Q9F, 8Q9G, 8Q9H, 8Q9I, 8Q9J, 8Q9K, 8Q9L, 8Q9M, 8Q9O, 8QCP, 8QCR, 8QDV, 8QJJ, 8R3T, 8SEH, 8SEI, 8TTL, 8TTN, 8UQ7, 8V1N, 8WCP, 8ZWL, 8ZWM, 8ZX6, 9BBL, 9BBM, 9BXI, 9BXO, 9BXQ, 9BXR, 9CGX, 9CGZ, 9CZI, 9CZL, 9EO7, 9EO9, 9EOE, 9EOG, 9EOH, 9ERM, 9ERN, 9ERO, 9G13, 9GG0, 9GG1, 9GG6, 9H5G, 9H5J, 9HBB"
MFN2,SQSTM1,O95140,Q64337,"6JFK, 6JFL, 6JFM","2RRU, 2ZJD, 3ADE, 3B0F, 3WDZ"
TNF,SPATA2,Q7TS55,Q9UM82,"2Q8O, 2QDN, 3B9I, 3FC0, 7E57, 7KHX","5LJM, 5LJN"
PTBP1,HNRNPF,P26599,P52597,"1QM9, 1SJQ, 1SJR, 2AD9, 2ADB, 2ADC, 2EVZ, 2N3O, 3ZZY, 3ZZZ, 8BGF, 8BWF","2HGL, 2HGM, 2HGN, 2KFY, 2KG0, 2KG1, 3TFY"
DLAT,DLST,Q8BMF4,P42628,No 3D Structure,No 3D Structure
PMPCB,NDUFS2,O75439,O75306,No 3D Structure,"5XTB, 5XTC, 5XTD, 5XTH, 5XTI"
PMPCA,NDUFS1,Q10713,P28331,No 3D Structure,"5XTB, 5XTD, 5XTH, 5XTI"
ELAVL1,G3BP1,Q15717,Q13283,"3HI9, 4ED5, 4EGL, 4FXV, 5SZW, 6G2K, 6GC5, 6GD1, 6GD2, 6GD3","3Q90, 4FCJ, 4FCM, 4IIA, 5FW5, 6TA7, 7S17, 7SUO, 7XHF, 7XHG, 8TH1, 8TH5, 8TH6, 8TH7, 8V1L"
SQSTM1,TAX1BP1,Q64337,Q3UKC1,"2RRU, 2ZJD, 3ADE, 3B0F, 3WDZ",No 3D Structure
ALS2,NEK1,Q920R0,P51954,No 3D Structure,No 3D Structure
LRRK2,HSP90AB1,Q5S007,P08238,"2ZEJ, 3D6T, 5MY9, 5MYC, 6DLO, 6DLP, 6OJE, 6OJF, 6VNO, 6VP6, 6VP7, 6VP8, 6XAF, 6XR4, 7LHT, 7LHW, 7LI3, 7LI4, 7THY, 7THZ, 8FO2, 8FO7, 8FO8, 8FO9, 8SMC, 8TXZ, 8TYQ, 8TZB, 8TZC, 8TZE, 8TZF, 8TZG, 8TZH, 8U1B, 8U7H, 8U7L, 8U8A, 8U8B, 8VH4, 8VH5, 9C76, 9CHO","1QZ2, 1UYM, 2L6J, 3FWV, 3NMQ, 3PRY, 3UQ3, 5FWK, 5FWL, 5FWM, 5FWP, 5UC4, 5UCH, 5UCI, 5UCJ, 6N8W, 6N8Y, 7ULJ, 7Z37, 7Z38, 7ZR0, 7ZR5, 7ZR6, 7ZUB, 8EOA, 8EOB, 8GAE, 8GFT, 8QMO"
SNX1,DNAJC13,Q13596,O75165,"2I4K, 4FZS, 8A1G, 8ABQ, 8AFZ",No 3D Structure
IFNA16,IFNA7,P05015,P01567,No 3D Structure,No 3D Structure
SFPQ,U2AF1,Q8VIJ6,Q01081,No 3D Structure,1JMT
RBMX,SRSF1,Q9WV02,Q6PDM2,No 3D Structure,1X4C
HNRNPA0,SRSF1,Q13151,Q6PDM2,No 3D Structure,1X4C
HNRNPU,PTBP1,Q8VEK3,P26599,No 3D Structure,"1QM9, 1SJQ, 1SJR, 2AD9, 2ADB, 2ADC, 2EVZ, 2N3O, 3ZZY, 3ZZZ, 8BGF, 8BWF"
MRPL2,NDUFAB1,Q5T653,O14561,"3J7Y, 3J9M, 5OOL, 5OOM, 6I9R, 6NU2, 6NU3, 6VLZ, 6VMI, 6ZM5, 6ZM6, 6ZS9, 6ZSA, 6ZSB, 6ZSC, 6ZSD, 6ZSE, 6ZSG, 7A5F, 7A5G, 7A5H, 7A5I, 7A5J, 7A5K, 7L08, 7L20, 7O9K, 7O9M, 7ODR, 7ODS, 7ODT, 7OF0, 7OF2, 7OF3, 7OF4, 7OF5, 7OF6, 7OF7, 7OG4, 7OI6, 7OI7, 7OI8, 7OI9, 7OIA, 7OIB, 7OIC, 7OID, 7OIE, 7PD3, 7PO4, 7QH6, 7QH7, 7QI4, 7QI5, 7QI6, 8ANY, 8K2A, 8K2B, 8OIR, 8OIT, 8PK0, 8QSJ, 8QU1, 8QU5, 8XT0, 8XT1, 8XT2, 8XT3","2DNW, 5OOL, 5OOM, 5XTB, 5XTC, 5XTD, 5XTH, 5XTI, 6ODD, 7A5H, 7A5J, 7O9K, 7O9M, 7ODR, 7ODS, 7ODT, 7OF0, 7OF2, 7OF3, 7OF5, 7OF7, 7OI6, 7OI7, 7OI8, 7OI9, 7OIC, 7OID, 7OIE, 7PD3, 7PO4, 7QH6, 7QH7, 8K2B, 8PK0, 8QSJ, 8QU5"
CYLD,BIRC2,Q9NQC7,Q62210,"1IXD, 1WHL, 1WHM, 2VHF, 7OWC, 7OWD",No 3D Structure
